url,name,sector,govt,discipline,province,city
https://www.hec.gov.pk/english/universities/Pages/Sindh/Indus-Valley-School-of-Art-and-Architecture.aspx,Indus Valley School of Art & Architecture,Private,Government of Sindh,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Indus University.aspx,Indus University,Private,Government of Sindh,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Information-Technology-University-of-the-Punjab.aspx,Information Technology University of the Punjab,Public,Government of Punjab,General,Punjab,Lahore,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Institute-for-Art-and-Culture.aspx,Institute for Art and Culture,Private,Government of Pakistan,Arts & Design,Punjab,Lahore,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Institute-of-Business-Administration.aspx,Institute of Business Administration,Public,Government of Sindh,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Institute-of-Business-Management.aspx,Institute of Business Management,Private,Government of Sindh,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/KPK/Institute-of-Management-Science.aspx,Institute of Management Sciences,Public,Government of Khyber Pakhtunkhwa,General,Khyber Pakhtunkhwa,Peshawar,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Institute-of-Management-Science.aspx,Institute of Management Sciences,Private,Government of Punjab,General,Punjab,Lahore,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Institute-of-Southern-Punjab.aspx,Institute of Southern Punjab,Private,Government of Punjab,General,Punjab,Multan,
https://www.hec.gov.pk/english/universities/Pages/Islamabad/Institute-of-Space-Technology.aspx,Institute of Space Technology,Public,Government of Pakistan,General,Islamabad Capital Territory,Islamabad,
https://www.hec.gov.pk/english/universities/Pages/Islamabad/International-Islamic-University.aspx,International Islamic University,Public,Government of Pakistan,General,Islamabad Capital Territory,Islamabad,
https://www.hec.gov.pk/english/universities/Pages/KPK/Iqra-National-University.aspx,Iqra National University,Private,Government of Khyber Pakhtunkhwa,General,Khyber Pakhtunkhwa,Peshawar,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Iqra-University.aspx,Iqra University,Private,Government of Sindh,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Islamia-University.aspx,Islamia University,Public,Government of Punjab,General,Punjab,Bahawal Pur,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Isra-University.aspx,Isra University,Private,Government of Sindh,General,Sindh,Hyderabad,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Jinnah-Sindh-Medical-University.aspx,Jinnah Sindh Medical University,Public,Government of Sindh,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Jinnah-University-for-Women.aspx,Jinnah University for Women,Private,Government of Sindh,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/Sindh/KASB-Institute-of-Technology.aspx,KASB Institute of Technology,Private,Government of Sindh,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Karachi-Institute-of-Economics--Technology.aspx,Karachi Institute of Economics & Technology,Private,Government of Sindh,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Karachi-Institute-of-Technology-and-Entrepreneurship.aspx,Karachi Institute of Technology and Entrepreneurship (KITE)  Karachi,Private,Government of Sindh,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Karachi-School-for-Business--Leadership.aspx,Karachi School for Business & Leadership,Private,Government of Sindh,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/Gilgit Baltistan/Karakurum-International-University.aspx,Karakurum International University,Public,Government of Pakistan,General,Gilgit Baltistan,Gilgit,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Khawaja-Freed-University-of-Engineering--Information-Technology.aspx,Khawaja Freed University of Engineering & Information Technology,Public,Government of Punjab,General,Punjab,Rahim Yar Khan,
https://www.hec.gov.pk/english/universities/Pages/KPK/Khushal-Khan-Khattak-University.aspx,Khushal Khan Khattak University,Public,Government of Khyber Pakhtunkhwa,General,Khyber Pakhtunkhwa,Karak,
https://www.hec.gov.pk/english/universities/Pages/KPK/Khyber-Medical-University.aspx,Khyber Medical University,Public,Government of Khyber Pakhtunkhwa,General,Khyber Pakhtunkhwa,Peshawar,
https://www.hec.gov.pk/english/universities/Pages/Punjab/King-Edward-Medical-University.aspx,King Edward Medical University,Public,Government of Punjab,General,Punjab,Lahore,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Kinnaird-College-for-Women.aspx,Kinnaird College for Women,Public,Government of Punjab,General,Punjab,Lahore,
https://www.hec.gov.pk/english/universities/Pages/KPK/Kohat-University-of-Science-and-Technology.aspx,Kohat University of Science and Technology,Public,Government of Khyber Pakhtunkhwa,General,Khyber Pakhtunkhwa,Kohat,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Kohsar-University%2C-Murree.aspx,Kohsar University  Murree,Public,Government of Punjab,General,Punjab,Rawalpindi,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Lahore-College-for-Women-University.aspx,Lahore College for Women University,Public,Government of Punjab,General,Punjab,Lahore,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Lahore-Garrison-University.aspx,Lahore Garrison University,Private,Government of Punjab,General,Punjab,Lahore,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Lahore-Leads-University.aspx,Lahore Leads University,Private,Government of Punjab,General,Punjab,Lahore,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Lahore-School-of-Economics.aspx,Lahore School of Economics,Private,Government of Punjab,General,Punjab,Lahore,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Lahore-University-of-Management-Sciences.aspx,Lahore University of Management Sciences,Private,Government of Pakistan,General,Punjab,Lahore,
https://www.hec.gov.pk/english/universities/Pages/Baloachistan/Lasbela-University-of-Agriculture%2C-Water-and-Marine-Sciences.aspx,Lasbela University of Agriculture  Water & Marine Sciences,Public,Government of Balochistan,General,Balochistan,Lasbella,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Liaquat-University-of-Medical-and-Health-Sciences.aspx,Liaquat University of Medical & Health Sciences,Public,Government of Sindh,General,Sindh,Jam Shoro,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Mehran-University-of-Engineering--Technology.aspx,Mehran University of Engineering & Technology,Public,Government of Sindh,General,Sindh,Jam Shoro,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Minhaj-University.aspx,Minhaj University,Private,Government of Punjab,General,Punjab,Lahore,
https://www.hec.gov.pk/english/universities/Pages/Baloachistan/Mir-Chakar-Khan-Rind-University%2C-Sibi--Balochistan.aspx,Mir Chakar Khan Rind University  Sibi Balochistan,Public,Government of Balochistan,General,Balochistan,Sibi,
https://www.hec.gov.pk/english/universities/Pages/AJK/Mirpur-University-of-Science-and-Technology.aspx,Mirpur University of Science & Technology,Public,Government of AJK,General,Azad Jammu & Kashmir,Mirpur,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Mohammad-Ali-Jinnah-University.aspx,Mohammad Ali Jinnah University,Private,Government of Sindh,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/AJK/Mohi-ud-Din-Islamic-University.aspx,Mohi-ud-Din Islamic University,Private,Government of AJK,General,Azad Jammu & Kashmir,Nerian Sharif,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Muhammad-Nawaz-Shareef-University-of-Agriculture.aspx,Muhammad Nawaz Shareef University of Agriculture,Public,Government of Punjab,General,Punjab,Multan,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Muhammad-Nawaz-Sharif-University-of -Engineering--Technology.aspx,Muhammad Nawaz Sharif University of  Engineering & Technology,Public,Government of Punjab,General,Punjab,Multan,
https://www.hec.gov.pk/english/universities/Pages/Islamabad/MY-University.aspx,Muslim Youth University,Private,Government of Pakistan,General,Islamabad Capital Territory,Islamabad,
https://www.hec.gov.pk/english/universities/Pages/Sindh/NED-University-of-Engineering--Technology.aspx,NED University of Engineering & Technology,Public,Government of Sindh,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/Punjab/NFC-Institute-of-Engineering--Technology.aspx,NFC Institute of Engineering & Technology,Public,Government of Pakistan,General,Punjab,Multan,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Namal Institute Manwali.aspx,Namal Institute  Mainwali,Private,Government of Punjab,Engineering & Technology,Punjab,Mianwali,
https://www.hec.gov.pk/english/universities/Pages/Punjab/National-College-of-Arts.aspx,National College of Arts,Public,Government of Pakistan,General,Punjab,Lahore,
https://www.hec.gov.pk/english/universities/Pages/Punjab/National-College-of-Business-Administration--Economics.aspx,National College of Business Administration & Economics,Private,Government of Punjab,General,Punjab,Lahore,
https://www.hec.gov.pk/english/universities/Pages/Islamabad/National-Defense-University.aspx,National Defense University,Public,Government of Pakistan,General,Islamabad Capital Territory,Islamabad,
https://www.hec.gov.pk/english/universities/Pages/Punjab/National-Textile-University.aspx,National Textile University,Public,Government of Pakistan,General,Punjab,Faisalabad,
https://www.hec.gov.pk/english/universities/Pages/Islamabad/National-University-of-Computer-and-Emerging-Sciences.aspx,National University of Computer & Emerging Sciences,Private,Government of Pakistan,General,Islamabad Capital Territory,Islamabad,
https://www.hec.gov.pk/english/universities/Pages/Islamabad/National-University-of-Medical-Sciences.aspx,National University of Medical Sciences,Public,Government of Pakistan,Medical,Punjab,Rawalpindi,
https://www.hec.gov.pk/english/universities/Pages/Islamabad/National-University-of-Modern-Languages.aspx,National University of Modern Languages,Public,Government of Pakistan,General,Islamabad Capital Territory,Islamabad,
https://www.hec.gov.pk/english/universities/Pages/Islamabad/National-University-of-Sciences--Technology.aspx,National University of Sciences & Technology,Public,Government of Pakistan,General,Islamabad Capital Territory,Islamabad,
https://www.hec.gov.pk/english/universities/Pages/Islamabad/NUTECH.aspx,National University of Technology (NUTECH)  Islamabad,Public,Government of Pakistan,Engineering & Technology,Islamabad Capital Territory,Islamabad,
https://www.hec.gov.pk/english/universities/Pages/Sindh/The-Nazeer-Hussain-University.aspx,Nazeer Hussain University,Private,Government of Sindh,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Newport-Institute-of-Communications--Economics.aspx,Newport Institute of Communications & Economics,Private,Government of Sindh,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Nishtar-Medical-University%2C-Multan.aspx,Nishtar Medical University Multan,Public,Government of Punjab,Medical,Punjab,Multan,
https://www.hec.gov.pk/english/universities/Pages/KPK/Northern-University.aspx,Northern University,Private,Government of Khyber Pakhtunkhwa,General,Khyber Pakhtunkhwa,Nowshehra,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Nur-International-University.aspx,Nur International University,Private,Government of Punjab,General,Punjab,Lahore,
https://www.hec.gov.pk/english/universities/Pages/KPK/PAF-IAST.aspx,Pak-Austria Fachhochschule Institute of Applied Sciences and Technology  Haripur,Public,Government of Khyber Pakhtunkhwa,General,Khyber Pakhtunkhwa,Haripur,
https://www.hec.gov.pk/english/universities/Pages/Islamabad/Pakistan Institute of Development Economics.aspx,Pakistan Institute of Development Economics (PIDE),Public,Government of Pakistan,General,Islamabad Capital Territory,Islamabad,
https://www.hec.gov.pk/english/universities/Pages/Islamabad/Pakistan Institute of Engineering And Applied Sciences.aspx,Pakistan Institute of Engineering & Applied Sciences,Public,Government of Pakistan,General,Islamabad Capital Territory,Islamabad,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Pakistan-Institute-of-Fashion-and-Design.aspx,Pakistan Institute of Fashion & Design,Public,Government of Pakistan,General,Punjab,Lahore,
https://www.hec.gov.pk/english/universities/Pages/KPK/Pakistan-Military-Academy.aspx,Pakistan Military Academy,Public,Government of Pakistan,General,Khyber Pakhtunkhwa,Abbottabad,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Pakistan-Naval-Academy.aspx,Pakistan Naval Academy,Public,Government of Pakistan,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Peoples-University-of-Medical-and-Health-Sciences-for-Women.aspx,Peoples University of Medical & Health Sciences for Women,Public,Government of Sindh,General,Sindh,Nawabshah,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Pir-Mehr-Ali-Shah-Arid-Agriculture-University.aspx,Pir Mehr Ali Shah Arid Agriculture University,Public,Government of Punjab,General,Punjab,Rawalpindi,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Preston-Institute-of-Management%2C-Science-and-Technology.aspx,Preston Institute of Management  Science & Technology (Banned for admissions w.e.f 10-06-2017),Private,Government of Sindh,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/KPK/Preston University Kohat.aspx,Preston University,Private,Government of Khyber Pakhtunkhwa,General,Khyber Pakhtunkhwa,Kohat,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Preston-University%2C Karachi.aspx,Preston University  Karachi,Private,Government of Sindh,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Punjab-Tianjin-Universityf-of-Technology-(PTUT)%2C-Lahore.aspx,Punjab Tianjin University of Technology  Lahore,Public,Government of Punjab,Engineering & Technology,Punjab,Lahore,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Qarshi-University.aspx,Qarshi University,Private,Government of Punjab,General,Punjab,Lahore,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Quaid-e-Awam-University-of-Engineering%2C-Sciences--Technology.aspx,Quaid-e-Awam University of Engineering  Sciences & Technology,Public,Government of Sindh,General,Sindh,Nawabshah,
https://www.hec.gov.pk/english/universities/Pages/Islamabad/Quaid-i-Azam-University.aspx,Quaid-i-Azam University,Public,Government of Pakistan,General,Islamabad Capital Territory,Islamabad,
https://www.hec.gov.pk/english/universities/Pages/KPK/Qurtaba-University-of-Science-and-Information-Technology.aspx,Qurtaba University of Science & Information Technology,Private,Government of Khyber Pakhtunkhwa,General,Khyber Pakhtunkhwa,Dera Ismail Khan,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Rawalpindi-Medical-University.aspx,Rawalpindi Medical University,Public,Government of Punjab,Medical,Punjab,Rawalpindi,
https://www.hec.gov.pk/english/universities/Pages/Punjab/Rawalpindi-Women-University%2C-Rawalpindi.aspx,Rawalpindi Women University  Rawalpindi,Public,Government of Punjab,General,Punjab,Rawalpindi,
https://www.hec.gov.pk/english/universities/Pages/Islamabad/Riphah-International-University.aspx,Riphah International University,Private,Government of Pakistan,General,Islamabad Capital Territory,Islamabad,
https://www.hec.gov.pk/english/universities/Pages/Baloachistan/Sardar-Bahadur-Khan-Women-University.aspx,Sardar Bahadur Khan Women University,Public,Government of Balochistan,General,Balochistan,Quetta,
https://www.hec.gov.pk/english/universities/Pages/KPK/Sarhad-University-of-Science-and-Information-Technology.aspx,Sarhad University of Science & Information Technology,Private,Government of Khyber Pakhtunkhwa,General,Khyber Pakhtunkhwa,Peshawar,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Shah-Abdul-Latif-University.aspx,Shah Abdul Latif University,Public,Government of Sindh,General,Sindh,Khairpur,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Shaheed-Benazir-Bhutto-City-University.aspx,Shaheed Benazir Bhutto City University,Private,Government of Sindh,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Shaheed-Benazir-Bhutto-Dewan-University.aspx,Shaheed Benazir Bhutto Dewan University,Private,Government of Sindh,General,Sindh,Karachi,
https://www.hec.gov.pk/english/universities/Pages/KPK/Shaheed-Benazir-Bhutto-University.aspx,Shaheed Benazir Bhutto University,Public,Government of Khyber Pakhtunkhwa,General,Khyber Pakhtunkhwa,Upper Dir,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Shaheed-Benazir-Bhutto-University-of-Veterinary-And-Animal-Sciences-.aspx,Shaheed Benazir Bhutto University of Veterinary & Animal Sciences,Public,Government of Sindh,General,Sindh,Nawabshah,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Shaheed-Benazir-Bhutto-University%2C-Shaheed-Benazirabad.aspx,Shaheed Benazir Bhutto University  Shaheed Benazirabad,Public,Government of Sindh,General,Sindh,Nawabshah,
https://www.hec.gov.pk/english/universities/Pages/KPK/Shaheed-Benazir-Bhutto-Women-University.aspx,Shaheed Benazir Bhutto Women University,Public,Government of Khyber Pakhtunkhwa,General,Khyber Pakhtunkhwa,Peshawar,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Shaheed-Mohtarma-Benazir-Bhutto-Medical-University.aspx,Shaheed Mohtarma Benazir Bhutto Medical University,Public,Government of Sindh,General,Sindh,Larkana,
https://www.hec.gov.pk/english/universities/Pages/Sindh/Shaheed-Zulfikar-Ali-Bhutto-Institute-of-Science--Technology-(SZABIST).aspx,Shaheed Zulfikar Ali Bhutto Institute of Science & Technology,Private,Government of Sindh,General,Sindh,Karachi,
